subject_id,branch_id,n_A_resolved,n_A_blocked,n_A_unreached,n_B_resolved,n_B_blocked,n_B_unreached,A_resolved_trials,A_blocked_trials,B_resolved_trials,B_blocked_trials,p_A_blocked,p_B_blocked,prob_div,avg_dur_A,avg_dur_B,dur_div,avg_hits_A,avg_hits_B,hit_div,hypothesis_label,template_id
31,14281,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14282,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14283,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14284,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14285,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14286,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14287,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
31,14288,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,51.4,94.6,-43.199999999999996,,
31,14289,7,3,0,9,0,1,"[3, 4, 5, 6, 8, 9, 10]","[1, 2, 7]","[1, 2, 3, 4, 6, 7, 8, 9, 10]",[],0.3,0.0,-0.3,10.5,2.7777777777777777,-7.722222222222222,1.5,6.333333333333333,-4.833333333333333,,
31,14290,7,3,0,9,0,1,"[3, 4, 5, 6, 8, 9, 10]","[1, 2, 7]","[1, 2, 3, 4, 6, 7, 8, 9, 10]",[],0.3,0.0,-0.3,10.5,2.7777777777777777,-7.722222222222222,1.5,6.333333333333333,-4.833333333333333,,
31,14291,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,13.8,22.8,-9.0,,
31,14292,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,27.8,45.6,-17.8,,
31,14293,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,13.8,22.8,-9.0,,
31,14294,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,5.9,4.3,-1.6000000000000005,16.9,37.6,-20.700000000000003,,
31,14295,7,3,0,9,0,1,"[3, 4, 5, 6, 8, 9, 10]","[1, 2, 7]","[1, 2, 3, 4, 6, 7, 8, 9, 10]",[],0.3,0.0,-0.3,10.5,2.7777777777777777,-7.722222222222222,1.5,6.333333333333333,-4.833333333333333,,
31,14296,10,0,0,9,1,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[1, 2, 3, 4, 6, 7, 8, 9, 10]",[5],0.0,0.1,0.1,7.7,7.3,-0.40000000000000036,6.9,11.4,-4.5,,
